GEOID,State,State Code,Subdiv,County Code,County Name,Shale County? [Y=YES],SHALE,REMARKS 
39119,OH,39,,119,MUSKINGUM,Y,UTICA,
39121,OH,39,,121,NOBLE,Y,UTICA,
39133,OH,39,,133,PORTAGE,Y,UTICA,
39151,OH,39,,151,STARK,Y,UTICA,
39153,OH,39,,153,SUMMIT,Y,UTICA,
39155,OH,39,,155,TRUMBULL,Y,UTICA,
39157,OH,39,,157,TUSCARAWAS,Y,UTICA,
39167,OH,39,,167,WASHINGTON,Y,UTICA,
39169,OH,39,,169,WAYNE,Y,UTICA,
40005,OK,40,,005,ATOKA,Y,WOODFORD,ARKOMA
40011,OK,40,,011,BLAINE,Y,WOODFORD,STACK
40013,OK,40,,013,BRYAN,Y,WOODFORD,ARDMORE
40015,OK,40,,015,CADDO,Y,WOODFORD,SCOOP
40017,OK,40,,017,CANADIAN,Y,WOODFORD,STACK
40019,OK,40,,019,CARTER,Y,WOODFORD,SCOOP
40029,OK,40,,029,COAL,Y,WOODFORD,ARKOMA
40039,OK,40,,039,CUSTER,Y,WOODFORD,STACK
40043,OK,40,,043,DEWEY,Y,WOODFORD,STACK
40049,OK,40,,049,GARVIN,Y,WOODFORD,SCOOP
40051,OK,40,,051,GRADY,Y,WOODFORD,SCOOP
40063,OK,40,,063,HUGHES,Y,WOODFORD,ARKOMA
40067,OK,40,,067,JEFFERSON,Y,WOODFORD,SCOOP
40073,OK,40,,073,KINGFISHER,Y,WOODFORD,STACK
40085,OK,40,,085,LOVE,Y,WOODFORD,ARDMORE
40095,OK,40,,095,MARSHALL,Y,WOODFORD,ARDMORE
40087,OK,40,,087,MCCLAIN,Y,WOODFORD,SCOOP
40091,OK,40,,091,MCINTOSH,Y,WOODFORD,ARKOMA
40099,OK,40,,099,MURRAY,Y,WOODFORD,SCOOP
40121,OK,40,,121,PITTSBURG,Y,WOODFORD,ARKOMA
40137,OK,40,,137,STEPHENS,Y,WOODFORD,SCOOP
42003,PA,42,,003,ALLEGHENY,Y,MARCELLUS,UTICA
42005,PA,42,,005,ARMSTRONG,Y,MARCELLUS,UTICA
42007,PA,42,,007,BEAVER,Y,MARCELLUS,UTICA
42009,PA,42,,009,BEDFORD,Y,MARCELLUS,
42013,PA,42,,013,BLAIR,Y,MARCELLUS,
42015,PA,42,,015,BRADFORD,Y,MARCELLUS,
42019,PA,42,,019,BUTLER,Y,MARCELLUS,UTICA
42021,PA,42,,021,CAMBRIA,Y,MARCELLUS,
42023,PA,42,,023,CAMERON,Y,MARCELLUS,UTICA
42025,PA,42,,025,CARBON,Y,MARCELLUS,
42027,PA,42,,027,CENTRE,Y,MARCELLUS,
42031,PA,42,,031,CLARION,Y,UTICA,
42033,PA,42,,033,CLEARFIELD,Y,MARCELLUS,
42035,PA,42,,035,CLINTON,Y,MARCELLUS,
42039,PA,42,,039,CRAWFORD,Y,MARCELLUS,UTICA
42047,PA,42,,047,ELK,Y,MARCELLUS,UTICA
42049,PA,42,,049,ERIE,Y,UTICA,
42051,PA,42,,051,FAYETTE,Y,MARCELLUS,
42053,PA,42,,053,FOREST,Y,MARCELLUS,UTICA
42059,PA,42,,059,GREENE,Y,MARCELLUS,UTICA
42063,PA,42,,063,INDIANA,Y,MARCELLUS,
42065,PA,42,,065,JEFFERSON,Y,MARCELLUS,UTICA
42073,PA,42,,073,LAWRENCE,Y,MARCELLUS,UTICA
42079,PA,42,,079,LUZERNE,Y,MARCELLUS,
42081,PA,42,,081,LYCOMING,Y,MARCELLUS,
42083,PA,42,,083,MCKEAN,Y,MARCELLUS,UTICA
42085,PA,42,,085,MERCER,Y,MARCELLUS,UTICA
42103,PA,42,,103,PIKE,Y,MARCELLUS,
42105,PA,42,,105,POTTER,Y,MARCELLUS,UTICA
42111,PA,42,,111,SOMERSET,Y,MARCELLUS,
42113,PA,42,,113,SULLIVAN,Y,MARCELLUS,
42115,PA,42,,115,SUSQUEHANNA,Y,MARCELLUS,
42117,PA,42,,117,TIOGA,Y,MARCELLUS,UTICA
42121,PA,42,,121,VENANGO,Y,MARCELLUS,UTICA
42123,PA,42,,123,WARREN,Y,MARCELLUS,UTICA
42125,PA,42,,125,WASHINGTON,Y,MARCELLUS,UTICA
42129,PA,42,,129,WESTMORELAND,Y,MARCELLUS,
42131,PA,42,,131,WYOMING,Y,MARCELLUS,
46019,SD,46,,019,BUTTE,Y,THREE FORKS,
46031,SD,46,,031,CORSON,Y,THREE FORKS,
46041,SD,46,,041,DEWEY,Y,THREE FORKS,
46063,SD,46,,063,HARDING,Y,THREE FORKS,
46093,SD,46,,093,MEADE,Y,THREE FORKS,
46105,SD,46,,105,PERKINS,Y,THREE FORKS,
46137,SD,46,,137,ZIEBACH,Y,THREE FORKS,
48003,TX,48,8,003,ANDREWS,Y,WOLFCAMP,
48005,TX,48,6,005,ANGELINA,Y,HAYNESVILLE,
48013,TX,48,1,013,ATASCOSA,Y,EAGLE FORD,
48021,TX,48,1,021,BASTROP,Y,EAGLE FORD,
48025,TX,48,2,025,BEE,Y,EAGLE FORD,
48033,TX,48,8A,033,BORDEN,Y,WOLFCAMP,
48035,TX,48,5,035,BOSQUE,Y,BARNETT,
48041,TX,48,3,041,BRAZOS,Y,EAGLE FORD,
48051,TX,48,3,051,BURLESON,Y,EAGLE FORD,
48077,TX,48,9,077,CLAY,Y,BARNETT,
48079,TX,48,8A,079,COCHRAN,Y,WOLFCAMP,
48081,TX,48,7C,081,COKE,Y,WOLFCAMP,
48097,TX,48,9,097,COOKE,Y,BARNETT,
48103,TX,48,8,103,CRANE,Y,WOLFCAMP,
48105,TX,48,7C,105,CROCKETT,Y,WOLFCAMP,
48109,TX,48,8,109,CULBERSON,Y,WOLFCAMP,
48113,TX,48,5,113,DALLAS,Y,BARNETT,
48115,TX,48,8A,115,DAWSON,Y,WOLFCAMP,
48123,TX,48,2,123,DE WITT,Y,EAGLE FORD,
48121,TX,48,9,121,DENTON,Y,BARNETT,
48127,TX,48,1,127,DIMMIT,Y,EAGLE FORD,
48135,TX,48,8,135,ECTOR,Y,WOLFCAMP,
48139,TX,48,5,139,ELLIS,Y,BARNETT,
48143,TX,48,7B,143,ERATH,Y,BARNETT,
48149,TX,48,3,149,FAYETTE,Y,EAGLE FORD,
48163,TX,48,1,163,FRIO,Y,EAGLE FORD,
48165,TX,48,8A,165,GAINES,Y,WOLFCAMP,
48173,TX,48,8,173,GLASSCOCK,Y,WOLFCAMP,
48177,TX,48,1,177,GONZALES,Y,EAGLE FORD,
48183,TX,48,6,183,GREGG,Y,HAYNESVILLE,
48185,TX,48,3,185,GRIMES,Y,EAGLE FORD,
48193,TX,48,7B,193,HAMILTON,Y,BARNETT,
48203,TX,48,6,203,HARRISON,Y,HAYNESVILLE,
48217,TX,48,5,217,HILL,Y,BARNETT,
48221,TX,48,7B,221,HOOD,Y,BARNETT,
48227,TX,48,8,227,HOWARD,Y,WOLFCAMP,
48235,TX,48,7C,235,IRION,Y,WOLFCAMP,
48237,TX,48,9,237,JACK,Y,BARNETT,
48251,TX,48,5,251,JOHNSON,Y,BARNETT,
48255,TX,48,2,255,KARNES,Y,EAGLE FORD,
48283,TX,48,1,283,LA SALLE,Y,EAGLE FORD,
48285,TX,48,2,285,LAVACA,Y,EAGLE FORD,
48287,TX,48,3,287,LEE,Y,EAGLE FORD,
48289,TX,48,5,289,LEON,Y,EAGLE FORD,
48297,TX,48,2,297,LIVE OAK,Y,EAGLE FORD,
48301,TX,48,8,301,LOVING,Y,WOLFCAMP,
48305,TX,48,8A,305,LYNN,Y,WOLFCAMP,
48313,TX,48,3,313,MADISON,Y,EAGLE FORD,
48315,TX,48,6,315,MARION,Y,HAYNESVILLE,
48317,TX,48,8,317,MARTIN,Y,WOLFCAMP,
48323,TX,48,1,323,MAVERICK,Y,EAGLE FORD,
48311,TX,48,1,311,MCMULLEN,Y,EAGLE FORD,
48329,TX,48,8,329,MIDLAND,Y,WOLFCAMP,
48331,TX,48,1,331,MILAM,Y,EAGLE FORD,
48335,TX,48,8,335,MITCHELL,Y,WOLFCAMP,
48337,TX,48,9,337,MONTAGUE,Y,BARNETT,
48347,TX,48,6,347,NACOGDOCHES,Y,HAYNESVILLE,
48363,TX,48,7B,363,PALO PINTO,Y,BARNETT,
48365,TX,48,6,365,PANOLA,Y,HAYNESVILLE,
48367,TX,48,7B,367,PARKER,Y,BARNETT,
48371,TX,48,8,371,PECOS,Y,WOLFCAMP,
48383,TX,48,7C,383,REAGAN,Y,WOLFCAMP,
48389,TX,48,8,389,REEVES,Y,WOLFCAMP,
48395,TX,48,5,395,ROBERTSON,Y,EAGLE FORD,
48401,TX,48,6,401,RUSK,Y,HAYNESVILLE,
48403,TX,48,6,403,SABINE,Y,HAYNESVILLE,
48405,TX,48,6,405,SAN AUGUSTINE,Y,HAYNESVILLE,
48413,TX,48,7C,413,SCHLEICHER,Y,WOLFCAMP,
48415,TX,48,8A,415,SCURRY,Y,WOLFCAMP,
48419,TX,48,6,419,SHELBY,Y,HAYNESVILLE,
48425,TX,48,7B,425,SOMERVELL,Y,BARNETT,
48435,TX,48,7C,435,SUTTON,Y,WOLFCAMP,
48439,TX,48,5,439,TARRANT,Y,BARNETT,
48443,TX,48,7C,443,TERRELL,Y,WOLFCAMP,
48445,TX,48,8A,445,TERRY,Y,WOLFCAMP,
48451,TX,48,7C,451,TOM GREEN,Y,WOLFCAMP,
48461,TX,48,7C,461,UPTON,Y,WOLFCAMP,
48471,TX,48,3,471,WALKER,Y,EAGLE FORD,
48475,TX,48,8,475,WARD,Y,WOLFCAMP,
48479,TX,48,4,479,WEBB,Y,EAGLE FORD,
48493,TX,48,1,493,WILSON,Y,EAGLE FORD,
48495,TX,48,8,495,WINKLER,Y,WOLFCAMP,
48497,TX,48,9,497,WISE,Y,BARNETT,
48501,TX,48,8A,501,YOAKUM,Y,WOLFCAMP,
48507,TX,48,1,507,ZAVALA,Y,EAGLE FORD,
54001,WV,54,,001,BARBOUR,Y,MARCELLUS,
54009,WV,54,,009,BROOKE,Y,MARCELLUS,UTICA
54017,WV,54,,017,DODDRIDGE,Y,MARCELLUS,
54021,WV,54,,021,GILMER,Y,MARCELLUS,
54029,WV,54,,029,HANCOCK,Y,UTICA,
54033,WV,54,,033,HARRISON,Y,MARCELLUS,
54049,WV,54,,049,MARION,Y,MARCELLUS,
54051,WV,54,,051,MARSHALL,Y,MARCELLUS,UTICA
54069,WV,54,,069,OHIO,Y,UTICA,
54085,WV,54,,085,RITCHIE,Y,MARCELLUS,
54091,WV,54,,091,TAYLOR,Y,MARCELLUS,
54095,WV,54,,095,TYLER,Y,UTICA,
54097,WV,54,,097,UPSHUR,Y,MARCELLUS,
54103,WV,54,,103,WETZEL,Y,MARCELLUS,UTICA
56015,WY,56,,015,GOSHEN,Y,NIOBRARA,
56021,WY,56,,021,LARAMIE,Y,NIOBRARA,
,,,,,,,,
,,,,,,,,
